"iso2c","GiniWealth_2010","GiniWealth_2011","GiniWealth_2012","GiniWealth_2013","GiniWealth_2014","GiniWealth_2015","GiniWealth_2016","GiniWealth_2017","GiniWealth_2018","GiniWealth"
"AE",65.3,69.7,69.9,70.5,72,70.3,71,86.1,81.4,72.9
"AF",NA,NA,NA,NA,NA,NA,NA,NA,64.4,64.4
"AG",NA,NA,NA,72.2,74.1,78.6,75.6,79.3,83.8,77.3
"AL",68,65.4,65.7,65.6,66.8,65.8,65,44.8,62.9,63.3
"AM",66.8,64.4,63.9,63.9,64.1,62.8,74.3,58.3,64.5,64.8
"AO",NA,NA,NA,75.6,75.5,72.7,84.4,78.2,71.5,76.3
"AR",74.7,76.8,78.2,79.6,80.9,81.8,78.7,72.3,79.2,78
"AT",64.6,69,69.3,77.8,77.9,77.9,78.5,78.8,76.4,74.5
"AU",72.7,62.6,63.6,63.6,64,63.9,68.2,65.2,65.8,65.5
"AW",NA,NA,NA,NA,NA,NA,NA,NA,73,73
"AZ",61.2,59.5,65.2,65.1,64.6,59.1,68.3,51,64.3,62
"BA",67.8,66.5,65.9,65.8,66.3,67,65.2,48,63.2,64
"BB",66.3,69.7,69.1,69,75.7,79.4,76.2,74,78.8,73.1
"BD",65.6,65,64.7,64.6,67.8,63,78.6,57.9,67.1,66
"BE",67,66.3,65.5,62.6,62.9,62.6,64.1,63,65.9,64.4
"BF",69.4,68.3,67.8,67.7,66.8,67.5,81,63,67.4,68.8
"BG",65.5,63.9,62.6,62.5,66.6,66.4,65.8,52.9,64.7,63.4
"BH",60.2,58.1,59.1,58.5,66.1,64.5,68,85.9,76.4,66.3
"BI",67,66,65.3,65.2,63.8,63.4,74.5,56.3,65.4,65.2
"BJ",69.1,67.8,67.2,67.1,66.5,67.3,77.9,65.9,68.9,68.6
"BN",58.4,58.1,59.1,58.5,66.3,64.3,68,79.6,78.6,65.7
"BO",77.3,75.6,74.5,74.4,74.5,71.3,77.9,74.2,77.9,75.3
"BR",79.6,79.5,81.2,82.1,82.3,83,82.9,83.2,82.3,81.8
"BS",64.7,67,66.4,66.2,72.3,86.9,75.6,85.1,84.2,74.3
"BW",81.8,74.4,77,77.2,79.1,81.7,93,79.5,78.3,80.2
"BY",64.8,63.7,62.4,62.2,64.6,65,62.2,44.2,61.4,61.2
"BZ",73.6,96.6,96.2,73.1,77.3,76,78.4,79.4,81.5,81.3
"CA",68.3,72.3,72.8,72.7,72.6,72.6,73.2,73.5,72.6,72.3
"CD",70.9,70.2,69.6,69.6,68.6,67.5,79.4,70.7,74.3,71.2
"CF",72,69.7,74.9,74.8,71.3,70.7,85.8,75.7,76.8,74.6
"CG",74.3,71.4,71,70.8,71.7,68.3,78.5,76.5,75.5,73.1
"CH",88.1,80.4,80.6,80.6,80.2,80.3,72.1,69.4,74.1,78.4
