"iso2c","iso3c","Country","GiniWealth","GiniMarket","GiniNet","IPL","Top1","Top10","Top10income","NatRes","PopGrowth","GovExp","NNSavings","EducExp","Infl","InflVol","VAI","VAA","GFCF","NetFDI","TaxRev","TotRev","RuleWB","StartBussC","StartBussT","BussDens","GDP90","Ygrowth","Yvolatility","LifeExp90","LFPart90","PopDens90","Age90","Buddha","Catholic","Confucian","Hindu","Jewish","Muslim","Protestant","RevCoups","PrEdu","SecEdu","TerEdu","EthnoLfrac","WarYears","Latitude","British","French","Spanish","RuleOfLaw","EcoFreedom","FinDev","CLandPR","EquipI","NonequipI","OutwardO","SubSahara","LatAm","FinReform","ChinnIto","LeftWing","ActivRestrict","CapitalReg","DiversIndex","InstQuality","DemAcc","Trust","KLTaxSpread","LAMRIG","Tech","EducIndex","FST","TradeNeigh","logMort","statehist","Legor_UK","Legor_FR","Legor_SO","Legor_GE","Legor_SC","ETHPOL","ETHFRAC","RELPOL","RELFRAC","MalIncidence","OECD","Glob_financial","Glob_restrictions","Glob_social","Glob_political","NetInterestMargin","BankZscore","Privatecredit","PrivatecreditVol","MarketCap","MarketTurn","BankBranches","ATMs1000","LendDepoSpread","Deposits2Branches","Loan2Deposits","FID","FIA","FIE","FMD","FME","Redist"
"AD","AND","Andorra",NA,NA,NA,NA,NA,NA,NA,0,2.95389078212452,NA,NA,2.91040002469307,NA,NA,16.6228816441361,0.471008860980691,NA,NA,NA,NA,1.15263665806164,NA,NA,NA,NA,NA,NA,NA,NA,115.976595744681,NA,0,86.56716,0,0,0,0,0,0,NA,NA,NA,0.5744,0,42.5,0,0,0,NA,NA,NA,1.65217391304348,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.19977927145623,NA,NA,NA,NA,NA,46.1582252695155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AE","ARE","United Arab Emirates",69.8,NA,NA,NA,29.56,60.2,NA,19.820589672004,6.95331486412831,8.62355590785964,NA,NA,6.9051106105,7.5594093731224,53.5888250823416,1.38894099057332,21.3713749773653,1.10311278393338,1.06355191385422,6.66513676224942,0.516825995661996,13.2666666666667,13.74,21.1004150196098,11.6016155260611,-0.0347316761715,0.0725445025789261,71.541,3.93156783642535e-05,22.2508851674641,26.6483355,0,0,0,0,0,96.02649,0,2,5.86833333333333,22.9283333333333,8.28,0.7771,0,24.46667,1,0,0,6.55,0.6665,8.26732142857143,5.4078947368421,0.0824483240482977,0.257726457218369,0.0356361987,0,0,NA,2.38919282,0,7,NA,2,0.635757575757576,0.593636363636364,NA,Inf,1.1,0.694550129219452,0.5686997804,499.18292,79.989723993562,NA,NA,1,0,0,0,0,0.64,0.32,0.8389386,0.5073568,3657.27777777778,0,57.945595932,75.499089559,61.196934254,51.146709442,2.97119228571429,27.2965435714286,41.8958143333333,12.0542453327147,39.5531514285714,30.7353351428571,14.0900965,41.6438105,3.081875,8992.66666666667,94.6129156666667,0.141144543333333,0.321762826666667,0.725933083333333,0.143880676666667,0.173899046666667,0.934101059640163
"AF","AFG","Afghanistan",NA,35.1560183446257,32.3023033382117,NA,NA,NA,NA,1.1238123065404,2.48030628251244,10.8295335009676,-14.365335222628,2.15073000573234,10.1391831528,13.9080277386699,25.862880966656,31.7166227493994,18.6903237097799,1.62993586159809,6.64688653340087,8.57558973853326,-1.75349472869526,43.9,8.07142857142857,0.429960273585314,NA,NA,NA,49.856,4.19556861753557e-06,18.7622369267531,15.62550042,0,0,0,0,0,98.99575,0,4,1.985,1.65333333333333,3.86666666666667,0.7323,29,34.51667,0,0,0,NA,NA,NA,6.46052631578947,NA,NA,NA,0,0,NA,-1.806543007875,13,NA,NA,NA,NA,NA,NA,0.909090909090909,NA,-1.19755753673812,0.230425,568.46002,67.5779062839936,NA,0.6182666,0,1,0,0,0,0.7864032,0.603395,0.9581288,0.4918636,241433.384615385,0,17.922207292,NA,15.6165266353333,27.8842837013333,9.86075,18.36018,5.3464775,2.68973463194686,NA,NA,1.189788535,0.199919863333333,NA,745.5,63.6656935714286,NA,NA,NA,NA,NA,2.71859489456103
"AG","ATG","Antigua and Barbuda",75.1,NA,NA,NA,NA,NA,NA,0,0.803870284563978,NA,NA,3.20321138333333,1.80121516454545,1.42769522006432,15.7775850651805,2.14610974948022,NA,10.0130128964602,16.7467657705057,18.1832118824271,0.971208767457441,10.5307692307692,22.3076923076923,3.57098621607021,9.38598035034302,0.0347005416905453,0.0555824911074657,71.351,NA,151.581818181818,25.28927563,0,11.26761,0,0,0,0,42.25352,0,NA,NA,NA,0.0566,0,17.13333,1,0,0,NA,NA,NA,2.74137931034483,0.0316750493099977,0.199575170190002,-0.636537321533333,0,0,NA,1.79424328832,NA,7,6.66666666666667,1,NA,NA,NA,NA,NA,NA,NA,1331.5693,NA,NA,NA,1,0,0,0,0,NA,NA,NA,NA,0,0,66.6765353758621,56.2184824458621,64.4410906834483,24.1783775462069,4.1067725,18.6599925,51.6011223333333,12.0227984957714,NA,NA,39.511949,64.3943495,6.18500266666667,28,79.907498,0.22016051,0.558307616666667,0.530666443333333,NA,NA,-1.47487512008779
"AI","AIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.51851854721705,NA,NA,NA,10.0682992674781,0.0396526125579651,0.0979234338981815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0.1405,0,18.21667,1,0,0,NA,NA,NA,NA,0.0718120696622111,0.517572944071122,-0.272889424533333,0,0,NA,NA,NA,7,6.66666666666667,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.62493916522157
"AL","ALB","Albania",66,47.3834382675429,38.5604122832201,NA,NA,NA,22.9,4.768648899688,0.372696041141164,11.2612780957634,14.1168176365927,2.87779254986551,24.1837991056111,54.3126523740916,30.6409988204211,32.3930532555421,29.1906974192741,4.12769800900079,13.6791915240835,20.4632753728645,-0.722470126368783,27.5733333333333,17.0666666666667,8.19400221931189,8.24169476497082,0.0277905411932179,0.087695949599797,71.836,1.95409035156314e-05,119.946788321168,23.06076919,0,5.15759,0,0,0,69.91404,0,0,16.51,24.025,3.82,0.2573,0,41.33333,0,0,0,5.09230769230769,0.695159090909091,6.18166666666667,5.13157894736842,0.0133060923273968,0.148085688205937,-0.0952936819333333,0,0,0.52380952,-0.4096563658,21,7,NA,1,0.433939393939394,0.749090909090909,0.237621621621622,0.855962219598583,1.51,0.15260060704884,0.5688960752,457.74191,78.3217176699643,NA,0.5720221,0,0,1,0,0,NA,NA,NA,NA,0,0,36.974327405,39.1383949273333,42.1955762226667,51.2297826763333,4.16226515,3.38900392307692,10.6297695,10.614410778399,NA,NA,16.94673845,18.1214617,6.759495,322.5,22.423838,0.0466076111111111,0.169395422222222,0.6651305,0.0249749388888889,NA,8.08437166668037
"AM","ARM","Armenia",65.7,48.1268582335643,34.4113315062016,NA,NA,NA,25.1285714285714,0.616313551581952,-0.180272294265033,12.4124843956419,-2.89843290635939,2.93378255571429,226.674050763125,840.23847653394,38.7971447718556,28.5629325251205,24.3982620892378,4.84585974894674,15.4197015514764,20.6275123255636,-0.429294702681628,3.4,11.4333333333333,1.4908419437551,8.64268670845201,0.0400855206715153,0.136909678859079,67.879,1.67225100629548e-05,124.276958201616,27.00500971,0,0,0,0,0,0,0,0,10.36,56.5416666666667,12.6483333333333,0.1744,0,40.18333,0,0,0,5.48333333333333,0.697952380952381,8.775,4.275,0.0167102823824947,0.136167171967505,-0.09041372215,0,0,NA,2.11679041621429,0,8.5,5,1.25,0.369,0.563,0.171962694168577,0.79136690647482,1.82,0.141614893238366,0.67261111125,486.35541,62.478400724694,NA,0.5373142,0,0,1,0,0,NA,NA,NA,NA,121.75,0,50.3343560578947,69.2426508847368,44.0527450168421,37.8177948005263,8.14071245454545,8.64671228571429,10.5528662222222,8.90596675088154,0.7864158,4.82008426666667,14.4749041666667,13.7550115833333,17.6800933333333,52.8333333333333,112.726553888889,0.0297409764705882,0.154783476470588,0.395270547058824,0.00419614705882353,0.0733343294117647,13.5132665255268
"AN","ANT","Netherlands Antilles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.837077677249908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,73.80952,0,0,0,0,0,0,NA,NA,NA,0.2657,0,12.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,-0.0568481088275862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AO","AGO","Angola",77,NA,NA,NA,NA,NA,NA,39.9465748285181,3.19712122688665,35.3319975299785,-29.0323225399918,4.05133824000001,573.968068076316,1086.15389620939,55.0901527525915,12.2317960011114,14.3463105925125,7.51361436956532,23.2254982569937,40.2570748692641,-1.4837494763461,327.12,65.9333333333333,NA,8.06349061174527,0.0120249679875488,0.0763387906220892,41.696,6.42988793084682e-06,9.76292692708751,16.24228064,0,50.73892,0,0,0,0,14.6798,1,NA,NA,NA,0.7848,25,-8.833333,0,0,0,3.3,0.413147058823529,5.6255,6.27142857142857,0.148738853982247,0.19912838358442,0.235642793033333,1,0,NA,-1.43794796076471,30,6,NA,0.5,0.399393939393939,0.339090909090909,NA,2.09497206703911,2.41,-0.910796226269581,0.379087259333333,2041.9652,68.9677299717043,5.63478946685791,0.303519,0,1,0,0,0,0.5720745,0.804776,0.9062415,0.4531208,816467.333333333,0,63.095658875,35.170024681,18.2022770886667,40.836427943,5.72338630769231,9.76219428571429,4.7698632,4.28242024264846,NA,NA,4.23677396666667,4.87785048333333,40.1943426666667,1987.33333333333,35.46335,0.116496933333333,0.0457818133333333,0.444695473333333,0.16769868,NA,5.39638240976425
"AR","ARG","Argentina",78.7,42.3836400103188,39.5233116237879,2.46477777777778,38.04,67.54,30.1166666666667,2.74077998985627,1.29264543025704,10.5921113258836,9.01309096041584,2.96156123214883,275.733881967133,688.434150328564,33.978188267767,7.48165872329902,18.0047492560849,1.80122791667378,9.65381841575511,14.9517661039637,-0.498755417679521,15.4866666666667,28.4666666666667,0.51885995764781,8.68799820617225,0.00924145149940985,0.06020179465134,71.565,1.81409940360355e-06,11.9596077743552,27.20197522,0,87.73967,0,0,0.72914,1.48528,7.50743,20,34.98,19.2,5.00833333333333,0.213,0,-34.66667,0,0,1,4.23125,0.645215909090909,6.90785714285714,2.81578947368421,0.0404164744735205,0.11881332332648,0.0260947989666667,0,1,0.438672436363636,-0.218545699233333,6,7.25,6.75,1.5,0.532121212121212,0.746363636363636,0.192598998731686,1,1.61,0.602158582815869,0.6793318719,459.11673,54.9205076931559,4.23265600204468,0.24547,0,1,0,0,0,0.5788137,0.407925,0.182253,0.0959646,961.166666666667,0,53.0856629686667,53.5283074703333,50.7912802373333,83.466751607,4.20690564285714,4.19776839285714,15.2009858,5.20257735874803,10.2394912266667,51.8033306666667,13.2102255,28.1891496666667,4.965013125,3580.66666666667,112.271738,0.162801743333333,0.206964863333333,0.419041996666667,0.1223224,0.370128376666667,2.52315270571026
