"iso2c","GiniNet","GiniMarket"
"AF",30.2666095675799,33.2490673893819
"AL",38.4840146475109,48.1982419418526
"DZ",32.0632550840886,36.3290779566174
"AD",31.6754915438471,39.6784450754702
"AR",38.1893902057687,39.9235052272952
"AM",36.9684897812848,48.2579278300661
"AU",32.8862054961728,48.0459873054143
"AT",28.2570089660647,48.590612245195
"BS",43.6642493873314,46.1662322470553
"BH",51.1736231190185,53.9943313762904
"BD",33.6071103575885,38.7404526674599
"BB",46.7608144580034,48.8915963436529
"BY",23.7638544139164,32.5057394025276
"BE",25.6323618046923,48.6657559301625
"BJ",45.0948220421755,50.6974230195189
"BT",38.9870564695866,44.0314999293825
"BO",43.3854226363279,43.0182300165047
"BA",39.1037079190825,51.4867720257944
"BW",58.8658879922512,64.9995765521679
"BR",45.7201731819018,54.6089862562993
"BG",34.2578099369558,36.8410689399138
"BF",38.5420507603173,43.6777955402346
"BI",36.7901722752757,41.2795603074897
"KH",33.9027655366907,37.4526904517619
"CM",43.567041013974,48.8856939342858
"CA",30.7211812998744,46.1391650342726
"CV",48.017235040382,54.1715539585261
"CO",48.6248516212717,51.0259908546081
"KM",52.568972219418,58.073287708452
"CG",46.6825110204166,51.5956437572711
"CD",42.1429616654295,47.2134330793604
"CR",46.0459461830187,49.6190107806961
"CI",40.686159237226,45.7359480203164
"HR",28.5481223744975,45.027037266346
"CY",30.1343144983366,48.6285824722289
"CZ",25.1443532598852,44.5205266024644
"DK",25.9351863248577,48.2147671957282
"DJ",41.3931723015853,46.6696012089003
"DM",45.457991706276,45.4422250597166
"DO",43.9367142973573,46.7027508488931
"EC",42.5465905769553,44.1810046971042
"EG",42.4284175607802,47.7643591199396
"SV",39.0924501783134,42.2471920171971
"EE",33.0418582955483,48.5406329309225
"ET",32.9001950221731,37.1296121944056
"FJ",39.4492483506059,42.508766528383
"FI",25.3457043717263,47.806167448266
"FR",29.8116252360762,49.0347974628383
"GA",39.1708359491583,43.7449230910465
"GM",42.0829447290516,46.5945022432417
"GE",39.0597464021671,49.0905492896836
"DE",28.9256474840011,51.7681916995252
